guid,title,ereserves,ereserves_txt,ill,ill_txt,archival,archival_txt,url_1,url_1_desc,url_2,url_2_desc,general
37,Kluwer Law Online Journals,Yes,"3.6 Course Pack/Electronic Reserve. <p> Members and Authorized Users may incorporate a reasonable portion of the Licensed Material in printed Course Packs and Electronic Reserve collections for the use of Authorized Users in the course of instruction at a Member, but not for Commercial Use. Each such item shall carry appropriate acknowledgement of the source, listing title and author of the extract, title and author of the work, and the publisher. Course packs in non-electronic non-print perceptible form, such as audio or Braille, may also be offered to Authorized Users who, in the reasonable opinion of the Member, have physical or learning disabilities.",Yes,"3.11 Interlibrary Loan <p> Members shall be permitted to supply to a library of a non-Member (whether by post, fax or secure transmission, using Ariel or its equivalent, whereby the electronic file is deleted immediately after printing), for the purposes of research or private study and not for commercial use, a single copy of an electronic original of an individual document being part of the Licensed Materials.",Yes,"2.2 Perpetual Access <p> Except for termination for cause (see Section 10.4), Licensor hereby grants to Licensee a nonexclusive, royalty-free, perpetual license to use the Licensed Materials that were accessible during the term of this Agreement. Such use shall be in accordance with the provisions of this Agreement, which provisions shall survive any termination of this Agreement. The means by which Licensee shall have access to such Licensed Materials shall be in a manner and form substantially equivalent to the means by which access is provided under this Agreement. For the purposes of clarity, inclusion of ""Appendix 1 Local Archiving and Hosting of Licensed Materials"" in the License Agreement shall constitute prior agreement to enforce all the provisions of Section 2.2.",http://www.coppul.ca/licenses/scans/KLI_license_2012_Redacted.pdf,CCH Canadian Limited Agreement,,,CCH Canadian Limited is a Wolters Kluwer business
38,LexisNexis Academic and Quicklaw,unavail,,notspec,,No,,http://www.coppul.ca/licenses/scans/LexisNexis_Consortia_Canada_License_2009.pdf,LexisNexis Subscriber License Agreement,,,This is a Consortia Canada licensed negotiated on behalf of member libraries by the BC Electronic Library Network.
39,LeisureTourism,Yes,"3.9 Members and Authorized Users may incorporate parts of the Licensed Material in course packs, study packs, resource lists and in any other material (including but not limited to mulit-media works) to be used in the course of instruction and/or in virtual and managed learning environments, virtual learning environments, managed learning environments, virtual research environments and library environments) hosted on a Secure Network (only accessible to Authorized Users by Secure Authentication). Each such item shall carry appropriate acknowledgement of the source, listing title and copyright owner. Course packs in other formats, such as Braille, may also be offered to Authorized Users.",Yes,"3.5 Interlibrary loan by paper or electronic means, a single copy of an individual document within the guidelines of traditional interlibrary loan practices and applicable copyright laws.",No,"8.5 Upon termination of this License for any reason, the Licensee shall immediately cease to make available to Authorized Users the whole or any part of the Licensed Material.",http://www.coppul.ca/licenses/scans/LeisureTourismExecuted2013_Redacted.pdf,COPPUL CABI License Agreement,,,
41,Project MUSE,Yes,"<b>JOURNALS</b> (Subscription) <p> Appendix A <ul> <li>2(c) Permitted ... to distribute a copy of individual journal articles in print or electronic form to Authorized Users, including the distribution of a copy for noncommercial educational purposes, to each individual student (Authorized User) in a class at a Participating Member’s institution. <p> <li>2(d) Permitted ... to use a persistent URL, or durable URL, to a journal article for courses of instruction offered by the Participating Member, where access is restricted to students enrolled in the course, to instructors, and to library staff maintaining the link, and such access is limited to the duration of the course. Each item should carry an appropriate acknowledgment of the source, copyright, and publisher, and the links to such items shall be deleted by the Participating Members when they are no longer required for such purpose. <p> <li>2(h) Permitted ... to provide links to MUSE full text content in course pages, e-syllabi, e-reserves, and electronic learning environments such as but not restricted to systems such as Blackboard. <p> <li>However, see also Appendix A, 3(b) Not Permitted ... to transmit the digital source code, whether plain ASCII or tagged, or use journal articles from Project MUSE in course packs offered for sale. </ul> <b>EBOOKS</b> (Purchased) <p> Appendix B <ul> <li>2(c) Permitted ... to distribute a copy of individual ebook chapters in print or electronic form to Authorized Users, including the distribution of a copy for noncommercial educational purposes, to each individual student (Authorized User) in a class at a Participating Member’s institution. <p> <li>2(d) Permitted ... to use a persistent URL, or durable URL, to an ebook chapter for courses of instruction offered by the Participating Member, where access is restricted to students enrolled in the course, to instructors, and to library staff maintaining the link, and such access is limited to the duration of the course. Each item should carry an appropriate acknowledgment of the source, copyright, and publisher, and the links to such items shall be deleted by the Participating Members when they are no longer required for such purpose. <p> <li>2(h) Permitted ... to display, download or print purchased ebooks for the purpose of internal marketing or testing or for training Authorized Users or groups of Authorized Users. <p> <li>However, see also 3(b) Not Permitted ... to transmit the digital source code, whether plain ASCII or tagged, and use contents from Project MUSE in course packs. </ul>",Yes,"<b>JOURNALS</b> (Subscription) <p> Appendix A <ul> <li>2(e) Permitted...to provide facsimile images that are exact representations of the print journal pages or of printouts from the electronic database for interlibrary loan under CONTU (National Commission on New Technological Uses of Copyright Works (http://www.cni.org/docs/infopols/CONTU.html) guidelines and distributed in paper, fax, or digital form. </ul> <b>EBOOKS</b> (Purchased) <p> Appendix B <ul> <li>2(e) Permitted ... to provide, for the purposes of interlibrary loan facsimile images that are exact representations of the print journal pages or of printouts from the electronic database for interlibrary loan under CONTU (National Commission on New 12 of 17 Technological Uses of Copyright Works) (http://www.cni.org/docs/infopols/CONTU.html) guidelines and distributed in paper, fax, or digital form. </ul>",Yes,"<b>JOURNALS</b> (Subscription) <p> Appendix A <ul> <li>Section B. Archiving and Preservation. Providing that full payment of the annual subscription fee is made, per Clause VI.D, Project MUSE will provide the Participating Member, upon request, an archival (nonsearchable) file on DVD-ROM or other appropriate media as determined by Project MUSE, containing the content of all issues published online during the 12-month subscription term. The annual archive will be available approximately 90 days after the expiration of each subscription term. The content of the annual archive may also be made available for download/retrieval via other means as mutually agreed upon by the Participating Member and Project MUSE. <p> <li> Participating Members may participate in the LOCKSS (Lots of Copies Keeps Stuff Safe) system for archiving digitized publications. To benefit from this support, Participating Members must install a LOCKSS cache at their institution. (See http://www.lockss.org for further information.) The Participating Member may perpetually use the LOCKSS system to archive and restore journal content, so long as use is otherwise consistent with this Agreement. Journal content may be made available to other LOCKSS system Participating Members who indicate a right to the subscribed journal content. </ul> <b>EBOOKS</b> (Purchased) <p> Appendix B <ul> <li> Section C. Perpetual Access and Archiving. Providing that full payment of the total purchase price is made, per Clause VI.D, a Participating Member retains the right to perpetual access to the digital version of the purchased ebooks on the Project MUSE server. So long as the Participating Member has purchased access to a UPCC Book Collection on MUSE within the previous 24 month period, or maintains an active subscription to a Project MUSE Journal Collection(s), perpetual access to previously purchased ebooks will be made available on the Project MUSE server at no charge. Should a Participating Member be neither an active subscriber to a Project MUSE Journal Collection, nor have purchased any further UPCC Book Collections on MUSE in the previous 24 month period, JHUP reserves the right to charge a reasonable annual fee to that Participating Member to recover the costs for providing continuing access and customer support on the Project MUSE platform. <p> <li> Participating Members may participate in the LOCKSS (Lots of Copies Keeps Stuff Safe) system for archiving digitized publications. To benefit from this support, the Participating Member must install a LOCKSS cache at its institution. (See http://www.lockss.org for further information.) Participating Members may perpetually use the LOCKSS system to archive and restore ebook content, so long as use is otherwise consistent with this Agreement. eBook content may be made available to other LOCKSS system Participating Members who indicate a right to the purchased ebook content.",http://www.coppul.ca/licenses/scans/ProjectMuseExecuted2012_Redacted.pdf,Project MUSE Consortium Agreement,,,"The Project MUSE license agreement applies to journal subscriptions, ebooks purchases and ebook subscriptions, as per Appendix A (Journals), Appendix B (Purchased eBooks), and Appendix C (Subscription eBooks). <p> This is a Consortia Canada license negotiated on behalf of member libraries by The Alberta Library (TAL)."
42,Nature Consortium License Agreement Schedule 2006,Yes,"Course Packs are allowed: <br> 2.1 (d) permit teaching staff accredited to a Member to reproduce individual articles from that part of the Licensed Material that the respective Member has subscribed to access (as indicated in Appendix A) for distribution to students accredited to the Licensee for the purpose of including such individual articles in course study packs; <p> Ereserves are not permitted but creating persistent URLs is allowed: <p> 3. Usage Restrictions <br>(c) make the Licensed Material, or any element of it, available on, or by, electronic bulletin boards, news groups, Web sites, FTP or any other means of posting or transmitting material on the Internet, an online service or wide area network, however, creating links to Licensed Material located on the Licensor’s server from similar services operating on the Licensee’s secure Network is allowed;",Yes,"Special terms: <p> Section 2.1(e) is hereby modified to: <p> 2(e) permit each Member to reproduce single copies of individual articles from that part of the Licensed Material that the respective Member has subscribed to access (as indicated in Appendix A) in hard copy print form for distribution without charge in hard copy form (but not electronically) or an electronic copy supplied by use of Ariel or equivalent secure transmission software which allows the article to be deleted as soon as printed. For the avoidance of doubt, no PDF document may be emailed for an ILL to individual libraries of not for profit, non commercial organisations in accordance with fair usage guidelines. No right or licence is hereby granted to any person provided with such a copy to copy or otherwise deal with that individual article;",No,,http://www.coppul.ca/licenses/scans/Nature_License_Redacted.pdf,Nature Consortium License Agreement Schedule 2006,,,
44,FirstSearch / WorldCat,No,,No,,Yes,"19. ARCHIVE OF COLLECTIONS <br>(a) Subscriber and Authorized Users will also be permitted to obtain ongoing access to an online archive of those Collections to which Subscriber has subscribed, in accordance with this Section 19. OCLC will maintain for Subscriber a subscription profile (""Profile"") detailing each publication to which Subscriber has subscribed, the subscription start date and, where applicable, the Subscription end date. During the period in which Subscriber maintains its access to the ECO database through one of the methods offered by OCLC (regardless of whether Subscriber has any active subscriptions to Collections offered in the ECO database), Authorized Users will be entitled to access archived copies of those Collections to which Subscriber has subscribed corresponding to the periods during which Subscriber maintained active subscriptions for such Collections, all as indicated on Subscriber's Profile.",http://www.coppul.ca/licenses/scans/OCLC.pdf,OCLC Member Terms,,,
45,Oxford University Press Products,Yes,"3.2 If the Subscriber is an educational institution, it may incorporate portions of the Licensed Works into printed Course Packs and Electronic Reserve Collections for use by Authorized Users in a course of instruction at the Subscriber’s educational institution, but not for Commercial Use. Each portion of the Licensed Works used in this manner shall be identified with an appropriate acknowledgment of the source, listing the title and author of the extract, title and author of the work, and “Oxford University Press” as the publisher. Copies of such extracts shall be deleted by the Subscriber or Authorized User when the extracts are no longer being used in the course of instruction. Course Packs in non-print forms, such as audio or Braille, may also be offered to Authorized Users who, in the reasonable belief of the Subscriber, are visually impaired.",No,4. LIMITATIONS ON USE OF THE LICENSED WORKS <p> 4.2.2 Intentionally distribute the whole or any part of the Licensed Works to anyone other than Authorized Users;,No,"Perpetual access is not allowed with OUP subscription products, however, some OUP products are available for perpetual purchase.",http://www.coppul.ca/licenses/scans/OUP_Regional_Network_Agreement.pdf,Oxford Universtiy Press/Regional Network Agreement,,,This is a Consortia Canada license negotiated on behalf of member libraries by the BC Electronic Library Network.
46,RefWorks,No,,No,,No,,http://www.coppul.ca/licenses/scans/RefWorks.pdf,RefWorks Terms and Conditions,,,
47,Routledge Encyclopedia of Philosophy,Yes,"Rights: <p> iv) ‘Licensee’, subject to the provisions of Clause 3 below, may incorporate parts of the Licensed Materials in Electronic Reserve collections for the use of Authorized Users in the course of instruction, but not for Commercial Use. Each such item shall carry appropriate acknowledgement of the source, listing title and author of the extract, title and author of the work, and the publisher. Electronic copies of such items shall be deleted by the Licensee when they are no longer used for such purpose.",Yes,"2. GRANT OF RIGHTS; RESERVATION OF RIGHTS <p> 2.3 Neither the Licensee, nor any Authorized User, shall store transiently or permanently on any medium, transfer, transmit, reproduce, loan to any third party, publish or otherwise exploit, modify, or create derivative works from, or combine with other material, the Licensed Material except to the extent necessary to exercise the Rights granted by this License. <b>The Licensee may, subject to Clause 3 below, within Fair Use guidelines, supply to another library not part of this agreement (by post, fax or secure transmission, on paper or in electronic form using Ariel or its equivalent, whereby the electronic file is deleted immediately after printing), a single copy of parts of the Licensed Materials for the purposes of research or private study and not for Commercial use.</b>",No,"10. EFFECT OF TERMINATION <p> 10.1 On termination of this License for any reason: <p> 10.1.1 the Licensee shall immediately cease to make available to Authorized Users the whole or any part of theLicensed Material; <p> 10.1.2 the Licensee shall within 7 days delete any of the Licensed Material held on the Licensee’s Client Machines or Network or which are otherwise in its possession or under its control and shall certify to the Licensor that this has been done, where required, and that no copies in any media have been retained.",http://www.coppul.ca/licenses/scans/REP.pdf,Routledge Encyclopedia of Philosophy Online License Agreement,,,
48,Royal Society Journal Packages,Yes,"5.1 Licensee may, subject to clause 6 below, incorporate parts of the Licensed Materials in printed Course Packs and Electronic Reserve collections and in Virtual Learning Environments for the use of Authorized Users in the course of instruction at a Licensee's institution, but not for Commercial Use. In Electronic Reserve collections and in Virtual Learning Environments use is conditional upon employing persistent links to the Licensed Materials so that usage is registered on Publisher's online platform each time a student views the work on reserve. Each such item shall carry appropriate acknowledgement of the source, listing title and author of the extract, title and author of the work, and the publisher. Copies of such items shall be deleted by the Licensee when they are no longer used for such purpose. Course packs in non-electronic non-print perceptible form, such as audio or Braille, may also be offered to Authorized Users who, in the reasonable opinion of the Licensee, are visually impaired.",Yes,"4.1 The Licensee may, subject to clause 6 below, supply to a library of a non-Member (whether by post or fax or secure transmission, using Ariel or its equivalent, whereby the electronic file is deleted immediately after printing), for the purposes of research or private study and not for Commercial Use, a single paper copy of an electronic original of an individual document being part of the Licensed Materials.",Yes,"2.3 On termination of this License, the publisher shall provide continuing access for Authorised Users to that part of the Licensed Materials which was published and paid for within the subscription period, from the Server or from the archive described in 7.4 except where such termination is due to a breach of the License by the Licensee which the Licensee has failed to remedy as provided in 10.1.1 and 10.1.2 of this License.",http://www.coppul.ca/licenses/scans/RoyalSociety_License_2012_Redacted.pdf,"Royal Society Journal Packages License Agreement,",http://www.coppul.ca/licenses/scans/RoyalSociety_License_Amdt_2014_Redacted.pdf,Amendment 2014,
49,SciFinder Scholar,No,,No,,No,"9. Conditions following termination. <p> C. On the effective date of termination of this Agreement, regardless of the reason for termination, the license granted in this Agreement to use SciFinder Scholar is revoked, and COPPUL will have no rights to continue to use SciFinder Scholar. On the effective date of termination, CAS will de-activate all of COPPUL's SciFinder Scholar loginids. Following termination, COPPUL member will use reasonable efforts to erase and otherwise destroy all copies of SciFinder Scholar in their possession (including archive copies) and provide CAS with written certification of the destruction within a 2 week period. The license to use CAS data that has been accessed through SciFinder Scholar will continue under the terms of Permitted Use Data, as defined in paragraph 1(L), which include the requirement to destroy data at the end of the research project or degree program, whichever is first.",http://www.coppul.ca/licenses/scans/SciFinder_Redacted.pdf,SciFinder Scholar License,,,
50,SimplyMap Canada,Yes,"3.2.5. Incorporate parts of SimplyMap Canada in course packs, study packs, resource lists and in any other material (including but not limited to multi-media works) to be used in the course of instruction and/or in virtual and managed environments (including but not limited to virtual learning environments, managed learning environments, virtual research environments and library environments) hosted on a Secure Network (accessible only to Authorized Users by Secure Authentication). Each item shall carry appropriate acknowledgement of the source, listing title and copyright owner. Course packs in non-electronic non-print perceptible form, such as Braille, may also be offered to Authorized Users. Each item shall carry appropriate acknowledgement of the source, listing title and copyright owner.",No,"4. Supply of Copies to Other Libraries <p> 4.1. Notwithstanding the provisions of Clauses 3.1 and 3.3, it is understood and agreed that Customer shall not fulfill requests for Licensed Materials in any form from other institutions, a practice commonly known as Interlibrary Loan.",No,,http://www.coppul.ca/licenses/scans/SimplyMapLicense_Redacted.pdf,Geographic Research Inc. Agreement,,,
51,SAGE Research Methods Online,Yes,"Section V. Course Packs/ Electronic Reserves / Virtual Learning. Subscriber, the Institutions and Authorized Users may incorporate a Reasonable Amount of the Subscribed Materials in course packs, study packs, resource lists and in any other material (including but not limited to multi-media works) to be used in the course of instruction and/or in virtual and managed environments (including but not limited to virtual learning environments, managed learning environments, virtual research environments and library environments) hosted on a Secure Network (only accessible to Authorized Users by Secure Authentication.",No,"Section VI. RESTRICTIONS. Distribution. Display or distribute any part of the Subscribed Materials on any electronic network, including without limitation the Internet, and any other distribution medium now in existence or hereinafter created, other than by Secure Authentication; Print and distribute any portion(s) of the Subscribed Materials to persons or entities other than the Subscriber or Authorized Users.",No,"Section XIII. Notwithstanding anything herein to the contrary, upon expiration or termination of this Agreement, Subscriber’s Subscription Right shall immediately cease and for the avoidance of doubt, Subscriber will have no right to continued and/or perpetual access or use of the Subscribed Materials and/or the SRMO Platform.",http://www.coppul.ca/licenses/scans/SAGE_RMO_Agreement_Dec2011_Redacted.pdf,SAGE Research Methods Online Subscription Agreement,,,"Alumni are recognized as Authorized Users. <p> SAGE Research Methods Online is not hosted on the SAGE Knowledge platform and therefore it must have its own license agreement, separate from the SAGE Publications and SAGE Reference Online products."
52,Consortium license not available.<br>Members sign individual agreements.,,,,,,,,,,,
56,Annual Reviews,Yes,Libraries may include copies of AR digital content in local electronic course reserve systems limited to use of Authorized Users of current classes. [section 1],Yes,"Facsimile images that are exact representations of the print pages or of printouts from the electronic database may be provided for interlibrary loan under CONTU guidelines and distributed in paper, fax, or digital form. [section 1]",Yes,"As of 2008, any subscription that includes online access entitles the user to permanent data rights to that volume, regardless of future subscription status. See Appendix B.",http://coppul.ca/licenses/scans/Annual_Reviews_Amendment2013_Redacted.pdf,Annual Reviews Online License and Service Agreement,,,
79,Encyclopaedia Universalis,Yes,,NA,,No,,,,,,"There is not yet a license agreement in place. The vendor and the lead consortium for Consortia Canada, CREPUQ, have had unfruitful discussions. (July 4, 2011)."
80,AAAS Science Online License,Yes,"3.8 Members and Authorized Users may incorporate parts of the Licensed Material in printed course packs, study packs, resource lists and Electronic Reserve collections for the use of Authorized Users in the course of instruction at a Member's institution but not for Commercial Use. Each item shall carry appropriate acknowledgement of the source, listing title, author of the work and copyright owner. Course packs in other formats such as Braille, may also be offered to Authorized Users. <p> Furthermore, use of the Licensed Materials in virtual learning environments, managed learning environments, virtual research environments and library environments is permitted, however access must be provided via hyperlink to the Licensed Materials where they reside either on Licensee's secure local copy or on Science Online. The posting of full text articles to separate locations for such purposes is not permitted.",Yes,"3.5 Members may, subject to clause 6, supply to an Authorized User of another library a copy of an individual document being part of the Licensed Materials by post or fax for the purposes of research or private study and not for Commercial Use, a practice commonly called interlibrary loan. Publisher permits ILL of articles or components of the Licensed Materials for non-commercial use in compliance with Canadian Copyright Law. Additionally, Members may supply single copies of articles downloaded from the Licensed Materials to a requesting library by secure electronic transmission (using Ariel or its equivalent, whereby the electronic file is deleted immediately after printing) for ILL purposes as described above.",No,"6.3 At this time, Publisher provides access only for the Subscription Term, and does not undertake to ensure future access to the online archives once the Subscription Term has expired except in the case of Science Classic as noted below. Although Publisher reserves the right to change their access policy at any time, for Science, after termination, users may register and continue to have access to the free peer review/original research content that is available directly from the Sciencemag.org platform (free content includes peer review/original research articles published one year prior to the current calendar year and back through 1997). <p> 6.4 Ongoing Access Rights to Science Classic for Licensees who make a One-Time Purchase of the Science Classic back issue file. Publisher intends to retain full-text versions of all articles for all issues within Science Classic and to continue to make database available to all current Licensees. In the unlikely event that it proves infeasible for the AAAS to maintain the ongoing availability of the contents of Science Classic, AAAS shall make the archive available to those Licensees who purchased Science Classic via the One-Time Purchase.",http://www.coppul.ca/licenses/scans/Science_Online_COPPUL_License_2013_Redacted.pdf,AAAS Science Online,,,
61,TSX-CFMRC,No,,No,,No,"3 (d) On termination or expiration of this Agreement, Subscriber shall immediately cease any and all use of the Database and Software and will destroy any and all copies or extracts thereof sand provide TSX with written certification of compliance with this paragraph signed by a senior officer of Subscriber.",http://www.coppul.ca/licenses/scans/TSX_Redacted.pdf,"TSX-CFMRC Subscription Agreement,",http://www.coppul.ca/licenses/scans/TSXAmend.pdf,2011 Addendum to TSX-CRMRC Subscription Agreement,
62,American Psychological Association,Yes,"2.1.2 Electronic Links. <p> Licensee and its Member Sites may provide secure electronic links to the Licensed Materials from Licensee’s web page(s) to increase the usefulness of the Licensed Materials to Authorized Users. Upon request, the APA will assist Licensee and its Member Sites in creating such links and Licensee and its Member Sites shall make changes to the appearance of such links and/or in statements accompanying such links as requested by the APA. <p> 2.1.4 Course Packs. <p> Consistent with the Fair Use provisions of Section 107 of the U.S. Copyright Act or consistent with the fair dealing doctrine and exceptions for educational institutions and libraries in Canadian copyright law, Licensee and its Member Sites may incorporate parts of the Licensed Materials which contain full text, but not including PsycINFO and/or PsycTESTS, in electronic Course Packs, Courseware and/or Electronic Reserve Collection for the use by Authorized Users in a particular course of instruction offered by Licensee and its Member Sites under the following conditions: <p> i. Course Packs shall be used <u>only in electronic form</u>. Course Packs appearing in print, CD-ROM, DVD, or any other physical medium shall be prohibited; <p> ii. Course Packs, Courseware and/or Electronic Reserve Collections shall not be used or offered for Commercial Use and shall include attribution to the appropriate source, listing title and author of the extract, title and author of the work, and the name of the publisher; <p> iii. Access to Course Packs, Courseware and/or Electronic Reserve Collections is to be controlled by security measures, such as IP authentication or the use of authorized passwords that are only to be provided to registered students of that particular course; <p> iv. Licensee and its Member Sites shall permanently delete all copies of Course Packs, Courseware and Electronic Reserve Collections when they are no longer used for a particular course;<p> v. Course Packs, Courseware and/or Electronic Reserve Collections in non-electronic non-print perceptible form, such as audio or Braille, may be offered to Authorized Users when necessary; and <p> vi. Permission for other reproduction should be sought from the APA, via the APA Permissions Office; however no reproduction of a Course Pack shall be allowed for material obtained from PsycINFO and PsycTESTS.",Yes,"2.1.3 Interlibrary Loan: <p> Licensee and its Member Sites may use the Licensed Materials for Interlibrary Lending with the following restrictions: <p> i. The Licensed Materials may not be used for Commercial Use or systematic supply or distribution of portions of the Licensed Materials in any form to anyone other than an Authorized User or any similar activity. <p> ii. Licensee and its Member Sites may use the Licensed Materials to fulfill print or image interlibrary loan requests from institutions that do not have access to the Licensed Materials, provided that such fulfillment is in accordance with the interlibrary loan provisions of Section 108 of the U.S. Copyright Act or consistent with the fair dealing doctrine and exceptions for educational institutions and libraries in Canadian copyright law. <p> iii. Such requests may be fulfilled only by Licensee and its Member Sites printing a copy of the item and providing that print copy or a photocopy or facsimile transmission thereof to the requesting party or by using an automated Inter-Library Loan system providing that it supplies images only and not digital content. <p> iv. This clause pertains only to the Licensed Materials including PsycARTICLES, PsycBOOKS, PsycEXTRA and PsycCRITIQUES. It does not apply for PsycINFO and PsycTESTS.",Yes,"7.3 Effect of Termination. <p> Upon termination for any reason and upon Licensee’s request, the Licensee and its Member Sites may obtain access to the content published during the time they paid for annual site licenses as described in Schedule A. <p> Schedule A: Delivery of Customer-Licensed Data <p> A customer who has not renewed an annual site license may retain access rights for the formerly licensed database content as outlined above. <p> Delivery of the calendar-year content that is deemed customer-owned will be made in one of two ways: as a structured data file that can be loaded directly to the institution's own proprietary system, or hosted by APA with access provided on the APA PsycNET® platform for an annual delivery fee.",http://www.coppul.ca/licenses/scans/APA_Consortium_Agreement_2013_Redacted.pdf,American Psychological Association,,,
63,Books 24x7,No,"Course Packs/Electronic Reserve. <br> SkillSoft allows linking to the Services by way of our Share Tool to generate persistent links, we do not allow distributing of copies for course packs nor does SkillSoft permit electronic reserves.<br> [Letter Amendment to the Master Agreement]",No,Section 10. Unauthorized and Prohibited Use includes: <br> (b) supply or distribution of single or multiple copies in any form to anyone other than Authorized Users. <br> [Letter Amendment to the Master Agreement],No,,http://www.coppul.ca/licenses/scans/Books24x7.pdf,Books 24x7 Skillsoft License Agreement ;,http://www.coppul.ca/licenses/scans/Books24x7AmendLetter.pdf,Amendment Letter 2012,"<a href=""http://www.coppul.ca/licenses/scans/Books24X7_Amdt_2013_Redacted.pdf"">Amendment (August 2013 to July 2015)</a>"
64,This product does not have a license agreement,,,,,,,,,,,
66,Sustainalytics Global Platform,Yes,"3.6 Members and Authorized Users may incorporate a reasonable portion of the Licensed Materials in printed Course Packs and Electronic Reserve collections for the use of Authorized Users in the course of instruction at a Member, but not for Commercial Use. Each such item shall carry appropriated acknowledgement of the source, listing title and author of each extract, title and author of the work, and the publisher. Course packs in non-electronic non-print perceptible format, such as audio or Braille, may also be offered to Authorized Users who, in the reasonable opinion of the Member, have a visual, perceptual, or physical disability.",Yes,"3.11 Members shall be permitted to supply to a library of a non-Member (whether by post, fax or secure electronic transmission or secure post-to-Web, whereby the electronic file is deleted immediately after printing), for the purposes of research or private study and not for Commercial use, a single copy of an electronic original of an individual document being part of the Licensed Materials. Files transmitted in this manner must carry copyright notices. Licensee agrees to fulfill interlibrary loan requests in compliance with Canadian Copyright Law.",No,,http://coppul.ca/licenses/scans/JantziExecuted2012_Redacted.pdf,Jantzi Research License,,,
75,International Historical Statistics Online,Yes,"Amended July 2013 to read: <p> 2.1 (f) reproduce reasonable portions from the Licensed Material in printed hard copy and electronic course packs and study packs to be used in the course of instruction and/or in virtual and managed environments (including but not limited to virtual learning environments, managed learning environments, virtual research environments and library environments) hosted on a secure Member Network, but not for Commercial Use. Each item shall carry appropriate acknowledgement of the source, listing title and copyright owner. Course packs in non-electronic, non-print perceptible form, for students with disabilities, such as Braille, may also be offered to Authorized Users.",Yes,"2.1 (d) reproduce single copies of individual articles from that part of the Licensed Material that such Member has subscribed to access in <b>hard copy print form, but not electronically</b>, for distribution without charge in <b>hard copy form, but not electronically</b>, to individual libraries of not for profit, non-commercial organizations in accordance with generally accepted fair dealing principles.",Yes,"4.11 <br> Section A Licensed Material <br> On expiry or termination of a Member’s Supply Period for Section A Licensed Material [snip], the Member's non-exclusive license of the Licensed Material shall,[snip] continue indefinitely in respect of such Member’s Section A Licensed Material first published during the Supply Period; <p> Section B Licensed Material <br> ...rights of such Member in Section B Licensed Material set forth in such Member’s Schedule continue indefinitely as of the Commencement Date set forth in such Schedule ... <p> Continued access rights for both Section A and B Licensed Material is conditional upon payment of the Access Fee.",http://www.coppul.ca/licenses/scans//IHS_Palgrave_2013_Redacted.pdf,Palgrave CONNECT Consortium Site License;,http://www.coppul.ca/licenses/scans//IHS_Palgrave_2013_Amendment_Redacted.pdf,Amendment July 2013,
76,Archive-It,NA,,NA,,NA,,http://www.coppul.ca/licenses/scans/ArchiveIt.pdf,Archive-It MOU,,,This is the generic Archive-It MOU. Each participating library signs its own agreement which outlines the limits of data they can archive in the subscription year. Upgrading is possible on-the-fly or at renewal.
68,University of Toronto Press eJournals,Yes,"1.18 Course Packs / Electronic Reserve <p> Member Institutions and Authorized Users may incorporate a reasonable amount of the Licensed material, that should not exceed 5 articles or links from each journal for each course, in printed and electronic Course Packs and Electronic Reserve collections for the use of Authorized Users in the course of instruction at the Licensee’s Institution, but not for Commercial Use. Each such item shall carry appropriate acknowledgement of the source, listing title and author of the work, and the publisher. Course packs in non-electronic, non-print perceptible form, such as audio or Braille, may also be offered to Authorized Users who, in the reasonable opinion of the Licensee, have visual, perceptual, or physical disabilities. <p> 1.19 Electronic Learning Environments <p> Member Institutions and Authorized Users may incorporate a reasonable amount of the Licensed material, that should not exceed 5 articles or links from each journal for each course, to be used in Electronic Learning Environments. Each item shall carry appropriate acknowledgement of the source, listing title, author, and copyright owner.",Yes,"1.23 Interlibrary Loan <p> The Licensee shall be permitted to supply to a non-participating Member Institution (whether by post, fax, or secure electronic transmission or secure post-to-Web, whereby the electronic file is deleted immediately after printing), for the purposes of research or private study and not for Commercial Use, a single copy of an electronic original of an article being part of the Licensed Materials, consistent with Canadian copyright law. Files transmitted in this manner must carry copyright notices. Licensee agrees to fulfil interlibrary loan requests in compliance with Canadian copyright law.",Yes,"1.12 Perpetual Access <p> Except for termination for uncured breach (see Section 1.49), the Licensor hereby grants to the Licensee a nonexclusive, royalty-free, perpetual licence for the Licensee and their Authorized Users to use the Licensed Materials. Such use shall be in accordance with the provisions of this Agreement, which provisions shall survive any termination of this Agreement. The means by which the Licensee shall have access to the Licensed Materials is outlined in Schedule 1.",http://coppul.ca/licenses/scans/UTP_License_2014_Redacted.pdf,University of Toronto Press Site Licence Agreement,,,
