db_id,db_name,notes,content_producer,chron_coverage,content_types,more_info,usage_stats,vendor_id,title_lists,multiconsort_note,subscrib_notes
41,CPI. Q,"CPI.Q, the award-winning electronic version of the Canadian Periodical Index, provides the most-requested Canadian reference information available. It includes more than 1,200 Canadian periodicals (more than 700 full text), a bilingual interface (English/French), indexing from 1980 forward, full-text articles from 1983 forward, The Globe and Mail, Macleanís weekly magazine, and even travel handbooks from Fodorís for Canadian destinations. This vast collection is fully integrated, enabling users to search the entire database with a single query. It yields a variety of relevant periodical articles, biographies, company profiles, historical documents, science and technology essays, and much more.  Exclusive features, including Topic Finder, InterLink, and a mobile-optimized interface, support and enhance the search experience. [From vendor] Last updated: April 27, 2015""",Gale,1980 to present,"Index,Abstract,FullText",http://www.cengage.com/search/productOverview.do?Ntt=76141139113667120901631012852117263240&N=197+4294917650+4294917622&Ns=P_Product_Title|0&Ntk=P_EPI,"Use Gale's InfoTrac Config module to run reports or to set up automatice-mailing of reports.  At the time library accounts were initially activated, Gale provided each library with a unique user account for InfoTrac Config.   To run stats for your library, go to:  http://infotrac.galegroup.com/itconfig/""""institution id""""<p>Substitute the Gale Cengage code for your library where it says institution ID.  Enter the username and password supplied by Gale.<p>Information and instructions for Gale Cengage statistics can be found at <a href=""""http://support.gale.com/al/12/1/article.asp?aid=1675&bt=4n#inf"""">http://support.gale.com/al/12/1/article.asp?aid=1675&bt=4n#inf</a>""",51,http://www.galegroup.com/tlist/cpiq_jl.html,,
47,Sociological Abstracts,"The Sociological Abstracts database abstracts and indexes the international literature in sociology and related disciplines in the social and behavioral sciences. Pulled from nearly 2,000 serial publications are abstracts from a variety of sources including journal articles, conference papers, books, dissertations, and conference papers, plus citations to important book reviews related to the social sciences.<p>Adding to the scope and breadth of this resource is a backfile that begins in 1952 with records published by the then print version of Sociological Abstracts. Your scholars will also benefit from a global perspective on sociology with 40% of the provided content published outside of North America.<p>Many records from key journals in sociology, added to the database since 2002, also include the references cited in the bibliography of the source article. Cited Reference Linking functionality broadens research and learning by providing links to cited references that provides users related research and contextual material that is easily discoverable.<p>[From vendor]<p>Last updated: March 13, 2015""",ProQuest,1952 - present,"Index,Abstract",http://www.proquest.com/products-services/socioabs-set-c.html,"Electronic usage reports are part of the ProQuest Local Administrator Application. To access this feature, you must have a Local Administrator ID and password. Please contact ProQuest Customer Service to have a Local Administrator account set up (phone 800-889-3358 or email tsupport@proquest.com).  To login to the ProQuest Local Administrator, point your browser to <a href=""http://proquest.umi.com/lad"">http://proquest.umi.com/lad</a><ol><li>Click """"Usage Report.""""<li>Select the report type. Several options are available.<li>Select the time period you want covered by the report (""""Usage Period"""")<li>Select the delivery method: email or display to screen.If you have any questions, please contact ProQuest customer service (phone and email given above.)</ol>""",62,#N/A,,
48,ABI/INFORM Complete,"<P>By keeping up with the needs of business researchers worldwide, we have grown ABI/INFORM Complete into the world's most comprehensive and diverse business database. Not only has the number of journals available in active full text has more than doubled in 3 years, but we have also been adding a whole lot more based on feedback from business researchers into the types of content that is vital to their research. This means that ABI/INFORM Complete now has more of the information needed by business researchers than any other single source available.<P>All this is available on the intuitive and powerful ProQuest platform. This allows cross-searching with other ProQuest business resources as well as creation of RSS feeds, content alerts, Smart Search, article linking, and much more. The platform recently received 5 stars from the Charleston Advisor for interface and searchability.<p>[From vendor]<p>Last updated: March 12, 2015""",ProQuest,1923 - present,"Index,Abstract,FullText",http://www.proquest.com/products-services/abi_inform_complete.html,"Electronic usage reports are part of the ProQuest Local Administrator Application. To access this feature, you must have a Local Administrator ID and password. Please contact ProQuest Customer Service to have a Local Administrator account set up (phone 800-889-3358 or email tsupport@proquest.com).  To login to the ProQuest Local Administrator, point your browser to <a href=""http://proquest.umi.com/lad"">http://proquest.umi.com/lad</a><ol><li>Click """"Usage Report.""""<li>Select the report type. Several options are available.<li>Select the time period you want covered by the report (""""Usage Period"""")<li>Select the delivery method: email or display to screen.If you have any questions, please contact ProQuest customer service (phone and email given above.)</ol>""",62,http://tls.proquest.com/tls/servlet/ProductSearch?area=0&prodName=ABI/INFORM&prodType=1&subject=0,,
50,Oxford Reference Online,"Bringing together 2 million digitized entries across Oxfordís Dictionaries, Companions and Encyclopedias, Oxford Reference is the premier online reference product, spanning 25 different subject areas.<p>A core foundation of 135+ academic subject, language, and quotations dictionaries providing carefully vetted, trusted short-entry content.<ul><li>A monthly updating program--led by Oxfordís experienced reference staff, external academic advisors, and based on user feedback--checks and revises articles for top levels of accuracy and timeliness<li>3 major content releases a year add new titles and editions<li>Available by annual subscription to individuals and institutions<li>New exclusive, online-only dictionaries widen the coverage of areas of study and research</ul><p>[From vendor]<p>Updated: April 24, 2015""",Oxford University Press,,FullText,http://www.oxfordreference.com/page/about,"An explanation of what statistics are available now, as well as what is planned for the future, is available at <a href=""http://www.oxfordreference.com/pub/1col/Usage_reports__usage_reports.html"""">http://www.oxfordreference.com/pub/1col/Usage_reports__usage_reports.html</a>.  <p>Usage statistics are available to account administrators, who will have an Administrator's user name and password in order to access these pages. To see your institution's usage statistics, please log in to the Oxford Reference Online site, then select Subscriber services from the blue toolbar on the Home page, and choose View your institutional usage reports from the list. You will then be prompted to enter your administrator user name and password in order to access your institution's usage statistics.""",61,http://www.oxfordreference.com/pages/Subjects_and_Titles__2F,,
51,Oxford Art,"Oxford Art Online offers access to the most authoritative, inclusive, and easily searchable online art resources available today. Through a single, elegant gateway users can accessóand simultaneously cross-searchóan expanding range of Oxfordís acclaimed art reference works: Grove Art Online, the Benezit Dictionary of Artists, the Encyclopedia of Aesthetics, The Oxford Companion to Western Art, and The Concise Oxford Dictionary of Art Terms, as well as many specially commissioned articles and bibliographies available exclusively online. [From vendor] Updated: April 17, 2015""",Oxford,Prehistory to present,FullText,http://www.oxfordartonline.com/public/about,,61,#N/A,,
92,PsycEXTRA,"This high-quality and relevant database combines bibliographic records with unique full-text materials, focusing on the latest conference presentations and papers, newsletters, reports, patient-oriented factsheets and brochures, magazines, monographs, and standards and guidelines relevant to the needs of students, faculty, and clinicians alike. Updated biweekly, PsycEXTRA is a reliable resource for current research information that expands the scope of current knowledge in psychology and the behavioral sciences. <p>[From vendor]<p>Last updated: November 4, 2013""",American Psychological Association,,,http://www.ebscohost.com/academic/psycextra,"Usage statistics are available by accessing EBSCOAdmin in the following way:<ol><p><li>Go to <a href=""""http://eadmin.epnet.com"""">http://eadmin.epnet.com</a><p><li>Enter your Customer ID and password (library administrators receive notification of their Customer ID upon setup, otherwise contact ELN [EMAIL_OFFICE])<p><li>Select the """"Reports and Statistics"""" tab from the top of the screen.<p><li>The """"Reports and Statistics"""" section of the Admin module offers an easy means of setting up a wide range of report choices.  For database usage statistics, choose Standard Reports or COUNTER reports.  The Standard Reports offer more options, while the COUNTER reports are designed to meet an international standard.  Link Activity reports are also available.<p>There are options to choose which activities to report, sort order, and select the date range of your choice.  To have a report run regularly, schedule the report.  Later, you can edit your scheduled reports if desired.<p>For further information, please contact EBSCO tech support at 800-758-5995 or 978-356-6500, e-mail eptech@epnet.com""",53,http://www.apa.org/pubs/databases/psycextra/magazine.aspx,,
96,Canadian Literary Centre,"With a deliberate Canadian focus, this database consists of book and reference content from Essays on Canadian Writing Press (ECW Press). ECW Press also provides several individual monographs, author biographies, essays, literary criticism, and book reviews.<p>Canadian Literary Centre presents a collection of regional full-text content from sources such as Canadian Fiction Studies, Canadian Biography Series, Canadian Writers and Their Works (Poetry and Fiction Series), ECW's Biographical Guide to Canadian Novelists, George Woodcock's Introduction to Canadian Fiction, George Woodcock's Introduction to Canadian Poetry, The Annotated Bibliography of Canada's Major Authors, Essays on Canadian Writing, Brick: A Literary Journal, Canadian Literature, Quill & Quire, University of Toronto Quarterly, and many more.<p>[From vendor]<p>Last updated: March 19, 2015""",,,,http://www.ebscohost.com/academic/canadian-literary-centre,,53,http://www.ebscohost.com/titleLists/joh-coverage.htm,,
97,Hospitality and Tourism Complete,"This collection contains more than 1.1 million records, with coverage dating back to 1931, with full text for over 525 publications, including periodicals, company & country reports, and books. Full-text periodicals include Journal of Hospitality & Tourism Education, Hosteur, Asia Pacific Journal of Tourism Research, Current Issues in Tourism, International Journal of Tourism Research, Journal of Sustainable Tourism, Leisure Sciences, Nation's Restaurant News, Restaurant Business and many more.<p>[From vendor]<p>Last updated: March 20, 2015""",EBSCO,,"Index,Abstract,FullText",http://www.ebscohost.com/academic/hospitality-tourism-complete,"Usage statistics are available by accessing EBSCOAdmin in the following way:<ol><p><li>Go to <a href=""""http://eadmin.epnet.com"""">http://eadmin.epnet.com</a><p><li>Enter your Customer ID and password (library administrators receive notification of their Customer ID upon setup, otherwise contact ELN [EMAIL_OFFICE])<p><li>Select the """"Reports and Statistics"""" tab from the top of the screen.<p><li>The """"Reports and Statistics"""" section of the Admin module offers an easy means of setting up a wide range of report choices.  For database usage statistics, choose Standard Reports or COUNTER reports.  The Standard Reports offer more options, while the COUNTER reports are designed to meet an international standard.  Link Activity reports are also available.<p>There are options to choose which activities to report, sort order, and select the date range of your choice.  To have a report run regularly, schedule the report.  Later, you can edit your scheduled reports if desired.<p>For further information, please contact EBSCO tech support at 800-758-5995 or 978-356-6500, e-mail eptech@epnet.com""",53,http://www.ebscohost.com/titleLists/hjh-coverage.htm,,
56,Proquest Historical Newspapers: The Globe and Mail,"Globeandmail.com and ProQuest bring you over 150 years of history with Canada's Heritage from 1844óthe online digitized full-image version of the complete works of The Globe and Mail newspaper since its inception as The Globe in 1844.<p>Itís the deepest and most extensive online historic newspaper archive in Canada and includes every news story, photograph, map, advertisement, classified ad, political cartoon, birth and death notice, and more. The breadth and depth of content make it a vital and convenient research tool for educators, librarians and all researchers.<p>Canada ís Heritage from 1844 opens a wealth of historical resources to Canadians from a highly-respected source. Simple access, combined with in-depth content, provides a unique and highly credible record of life in Canada. The 1.3 million page online archive chronicles the people, events, and circumstances that helped shape Canada.<p>[From vendor]<p>Libraries can now access this product through regular IP authentication at this URL:  http://search.proquest.com/globeandmailcanheritage?accountid=XXXX</p>""",,1844-2009,"Index,Abstract,FullText",http://www.proquest.com/en-US/catalogs/databases/detail/canada_heritage.shtml,Usage statistics are available by contacting ProQuest tech support.,62,#N/A,,
168,EBSCO e-Books Special Offer 2013,"BC Electronic Library Network, COPPUL, The Alberta Library, and the Manitoba Library Consortium are participating in this special offer for EBSCO e-books coordinated by COPPUL. <p>eBooks in this offer are only available for purchase with access in perpetuity. There is minimal duplication of titles between this offer and EBSCOís Academic eBook Subscription Collection that was presented last summer. A spreadsheet which analyzes the overlap between the two ebook offers can be downloaded from <a href=""""http://www.eln.bc.ca/docs/view.php?id=1012""""><b>here</b></a>.<p>This ever-growing subscription package contains a large selection ofmultidisciplinary eBook titles representing a broad range of academicsubject matter, and is a strong complement for any academic collection.The breadth of information available through this package ensures thatusers will have access to information relevant to their research needs,regardless of what those may be.  There are over 40,000 University Presstitles in the collection, including: Cambridge University Press, MITPress, McGill-Queen's University Press, Oxford University Press,University of Alberta Press, University of British Columbia Press, andmany, many more. <p>There are over 118,000 titles are included in the Academic Collection.All are available with unlimited user access, most are downloadable, andnew titles are added to the package each month at no additional cost.<p>EBSCO eBooks are accessible via a multitude of mobile devices for easyaccess anywhere(<a href=""""http://www.ebscohost.com/ebooks/user-experience/downloading-ebooks"""">http://www.ebscohost.com/ebooks/user-experience/downloading-ebooks</a>).<p>Subject coverage includes:<ul><li>  Agriculture<li>  Art<li>  Business & Economics<li>  Education<li>  Fine Arts<li>  History <li>  Language Arts & Discipline<li>  Law<li>  Literary Criticism<li>  Medical<li>  Military Science<li>  Performing Arts<li>  Philosophy<li>  Psychology<li>  Poetry<li>  Political Science<li>  Religion<li>  Social Science<li>  Technology & Engineering</ul><p>[From vendor]<p>Last updated: March 3, 2014""",EBSCO,2010-2012,,,,53,#N/A,,
57,Canadian Newsstand,"Canadian Newsstand offers unparalleled access to the full text of nearly 300 newspapers from Canada's leading publishers, including The Globe and Mail.<P>This full text database includes the complete available electronic backfile for most newspapers, providing full access to the articles, columns, editorials, and features.  Some backfiles date as far back as the late 1970s and 1980s. Canadian Newsstand content is updated daily so researchers always have timely access to new information.<P>Offering Canadian Newsstand through the ProQuest web interface provides subscribers with a single point of access to integrated Canadian, U.S., and international content and takes advantage of the extensive features and functions of the interface.<P>Now you're able to create an online newspaper resource from one of the world's largest newspaper collections to best meet the needs of your library's patrons. In addition, researchers can cross-search Canadian Newsstand with the Canadian Business & Current Affairsô (CBCA) database, a very powerful combination for the retrieval of Canadian information.<P>ELN Sites may choose to subscribe to one or more of the following collections within the Canadian Newsstand database:</p><ul><li><B>Pacific Collection</b>: includes major BC dailies and regional papers<br></li><li><B>Major Dailies</b>: includes major daily papers from across Canada<br></li><li><b>Black Press</b>: includes 61 community newspapers from Western Canada</li></ul>[From vendor]<p>Last updated: April 27, 2015""",Various,1985 - present,FullText,http://www.proquest.com/products-services/canadian_newsstand.html,"ELN sites currently use the ProQuest interface to Canadian Newsstand.  Historical statistics can be found using the instructions for the SLRI interface.<p>ProQuest usage statistics:<br>Electronic usage reports are part of the ProQuest Local Administrator Application. To access this feature, you must have a Local Administrator ID and password. Please contact ProQuest Customer Service to have a Local Administrator account set up (phone 800-889-3358 or email tsupport@proquest.com).  To login to the ProQuest Local Administrator, point your browser to <a href=""""http://proquest.umi.com/lad"""">http://proquest.umi.com/lad</a><ol><li>Click """"Usage Report.""""<li>Select the report type. Several options are available.<li>Select the time period you want covered by the report (""""Usage Period"""")<li>Select the delivery method: email or display to screen.If you have any questions, please contact ProQuest customer service (phone and email given above.)</ol>""",62,http://tls.proquest.com/tls/servlet/ProductSearch?platformID=1&externalID=18442&vdID=1,,
125,LexisNexis Academic,"Lexis Nexis Academic provides access to full-text news, business, and legal publications, using a variety of flexible search options.  Access over 15,000 news, business, and legal sources. The outstanding news coverage includes deep backfiles and up-to-the-minute stories in national and regional newspapers, wire services, broadcast transcripts, international news, and non-English language sources. LNA also contains all the content of Quicklaw Core.<p>[From vendor]<p>Last updated: May 15, 2014""",LexisNexis,1789 to present,"Index,FullText",http://www.lexisnexis.com/en-us/products/lexisnexis-academic.page,"Instructions on how to access, and interpret, statistics, are available on the LexisNexis website.  LexisNexis recommends booking the following URL, which provides links to Usage Key Reports for each product.  The information in the Usage Key Reports can change over time, so LexisNexis recommends bookmarking this URL:  <a href=""http://www.lexisnexis.com/academic/1univ/usage/default.asp"">http://www.lexisnexis.com/academic/1univ/usage/default.asp</a>",89,http://amdev.net/rpt_download.php?reg=CAN,,
139,World Book,"World Book Web is comprised of World Book Advanced and Academic World Book. Subscribers also receive access to World Book Student, World Book Kids, and Enciclopedia Estudiantil Hallazgos.<p><p>Academic World Book is a comprehensive reference tool that includes encyclopedia, multimedia, e-book, and primary source databases, fully integrated in a single search. Tailored to the needs of college- and university-level students, Academic World Book includes a customizable interface, a streamlined design, and a wide array of search and browse features. Academic World Bookís powerful search engine provides optimized search results. Search refinements and relevancy weighting direct users to their content with maximum efficiency. Research tools, including citation builder, dictionary, atlas, and timelines help users compile the data and information they need to complete their assignments and research projects. Individual research accounts within the site offer users the ability to create and share their own content features, including research results from World Book and external sources, timelines, and citations.</p>World Book Advanced is a powerful reference tool that includes encyclopedia, multimedia, e-book, and primary source databases, fully integrated in a single search.  Tailored for the needs and skills of students in grades 8 and up, World Book Advanced includes a customizable interface, a streamlined design, and personalized homepage content features.  .<p><p>Continually updated, World Book Student is a student's best source for accurate and accessible information. This comprehensive site includes all of the articles from the 22-volume print set, plus thousands more. In addition, there are more than 9,500 pictures and maps, 115 videos and animations, 9,300 sounds, more than 100 simulated historic Web sites.</p>World Book Kids is the premier general reference Web site developed especially for younger users. The site features simple navigation, easy-to-read articles, thousands of illustrations, videos, comparison tools, and a wealth of engaging games and activities.<p>[From Vendor]<P>Last updated: September 24, 2014""",World Book,,FullText,,,83,#N/A,,
126,Bibliography of Native North Americans,"This bibliographic database covers all aspects of native North American culture, history and life, with a wide range of topics. This resource will appeal to anyone interested in exploring the contributions, struggles and issues surrounding North America's indigenous peoples.<p>Bibliography of Native North Americans contains more than 188,000 citations for books, essays, journal articles and government documents of the United States and Canada. Dates of coverage for included content range from the 16th century to the present. The database is an essential research tool for anthropologists, educators, historians, political scientists, sociologists, psychologists, legal and medical researchers, linguists, theologians, ethnobotanists and policy makers.<p>[From vendor]<p>Last updated: June 2, 2015""",EBSCO,16th Century to present,Index,http://www.ebscohost.com/academic/bibliography-of-native-north-americans,"Usage statistics are available by accessing EBSCOAdmin in the following way:<ol><p><li>Go to <a href=""""http://eadmin.epnet.com"""">http://eadmin.epnet.com</a><p><li>Enter your Customer ID and password (library administrators receive notification of their Customer ID upon setup, otherwise contact ELN [EMAIL_OFFICE])<p><li>Select the """"Reports and Statistics"""" tab from the top of the screen.<p><li>The """"Reports and Statistics"""" section of the Admin module offers an easy means of setting up a wide range of report choices.  For database usage statistics, choose Standard Reports or COUNTER reports.  The Standard Reports offer more options, while the COUNTER reports are designed to meet an international standard.  Link Activity reports are also available.<p>There are options to choose which activities to report, sort order, and select the date range of your choice.  To have a report run regularly, schedule the report.  Later, you can edit your scheduled reports if desired.<p>For further information, please contact EBSCO tech support at 800-758-5995 or 978-356-6500, e-mail eptech@epnet.com""",53,http://www.ebscohost.com/titleLists/fph-coverage.htm,,
174,EBSCO Discovery Service (EDS),"EBSCO Discovery Service (EDS) takes research to the next level through a perfect combination of content and technology, taking into account all of the critical elements in the research process, and changing the expectations of how a discovery solution can and should address the needs of its users, whether it's:<p><ul><li>A simple search by an undergraduate student<li>A sophisticated search by a post-graduate researcher<li>A library administrator looking to quickly and conveniently streamline resources</ul><p>EDS provides a fast, streamlined search through a single search box, but within the context of a greater experience that pulls together intuitive features and functionality, high-end indexing via Inclusion of Subject Indexes, and instant access to critical full text, leveraged from the leading EBSCOhost research platform and databases, as well as from key information providers. And as EDS continues to evolve, the end goal remains the sameóhelping users to find and access the highest-quality content for the best-possible research experience.<p>[From vendor]<p>Last updated: April 17, 2015""",EBSCO,NA,,http://www.ebscohost.com/discovery,,53,#N/A,,
175,Canadian Electronic Library: Documents Collection,"<p>From the vendor's website:</p><p>Canadian Documents is an amalgamation of the two services below.</p><p><b>Canadian Public Policy Collection</b></p><p>Monograph publications from Canadian public policy institutes, government agencies, advocacy groups, think-tanks, university research centres and other public interest groups. The organizations included in this collection represent the leading edge of primary research and opinion in all areas of Canadian public policy. Their publications are vital to the understanding of developing issues in every arena of Canadian public life.</p><p><b>Canadian Health Research Collection</b></p><p>A curated collection of current monograph publications from Canadian research institutes, government agencies and university centres working in the area of health and medical research. The organizations included in this collection are active publishers of primary research in the field. The publications included are both general policy documents as well as those of a specialized technical nature.</p><p>There are over 40,000 titles in the combined collection to mid-2015, and the service provides 300-400 new current titles to subscribers every month.</p><p>Last updated: June 10, 2015""",,2005 - present,FullText,http://www.deslibris.ca/en-us/forlibraries/canadianelectroniclibrary/celdocumentscollections.aspx,,NULL,http://deslibris.ca/en-us/forlibraries/canadianelectroniclibrary/celdocumentscollections.aspx,,
59,ATLA/ATLAS,"<P><B><I>ATLA Religion Database</i></b><P>This database provides information on topics such as biblical studies, world religions, church history, and religion in social issuesómaking it an essential resource for studies in theology, as well as in social sciences, history and humanities. Journals are selected for inclusion according to their scholarly merit and scope.<p>This database contains 1.8 million+ bibliographic records covering the research literature of religion in over 60 languages. Most coverage spans from 1908 to the present, while an ambitious retrospective indexing project provides citations of select titles back to their original publication date. Bibliographic records represent scholarship on major religions, faiths, denominations and languages.<P><B><I>ATLA Serials (ATLAS) Online</i></b><P>Produced by the American Theological Library Association (ATLA), coverage in this database begins in 1908, with indexing for some journal titles extending back into the nineteenth century. Full text is provided for articles and reviews from more than 300 journals selected by leading religion scholars.<p>[From vendor]<p>Last updated: March 24, 2015""",American Theological Library Association,1908 - present,"Index,FullText",http://www.ebscohost.com/academic/atla-religion-database-with-atlaserials,"Usage statistics are available by accessing EBSCOAdmin in the following way:<ol><p><li>Go to <a href=""""http://eadmin.epnet.com"""">http://eadmin.epnet.com</a><p><li>Enter your Customer ID and password (library administrators receive notification of their Customer ID upon setup, otherwise contact ELN [EMAIL_OFFICE])<p><li>Select the """"Reports and Statistics"""" tab from the top of the screen.<p><li>The """"Reports and Statistics"""" section of the Admin module offers an easy means of setting up a wide range of report choices.  For database usage statistics, choose Standard Reports or COUNTER reports.  The Standard Reports offer more options, while the COUNTER reports are designed to meet an international standard.  Link Activity reports are also available.<p>There are options to choose which activities to report, sort order, and select the date range of your choice.  To have a report run regularly, schedule the report.  Later, you can edit your scheduled reports if desired.<p>For further information, please contact EBSCO tech support at 800-758-5995 or 978-356-6500, e-mail eptech@epnet.com""",53,http://www.atla.com/products/titles/Pages/default.aspx,,
60,Global Books in Print,"Books In Print combines the most trusted and authoritative source for bibliographic information with powerful search, discovery and collection development tools designed specifically to streamline the book discovery and acquisition process. Libraries worldwide consult Books in Print to find titles, create lists and decide from Books in Printís vast inventory files which vendor, ebook platform or online retailer to source the title. Books in Print is available in two subscription levels:<p>    United States Edition ñ contains U.S. publications.    Global Edition ñ Offers global coverage including U.S., Canadian, European, and Australian publications.<p>[From vendor]<p>Last updated: April 17, 2015""",Bowker,Current,FullText,http://www.bowker.com/products/Books-In--Print.html,"<ol><li>Login to the site <a href=""""http://www.globalbooksinprint.com/merge_gbip/default.asp"""" target=_blank"""">http://www.globalbooksinprint.com/merge_gbip/default.asp</a><li>Click on the My Account Button at the top right of the screen.<li>Scroll down to the Detailed Account Settings link and click it.<li>Click the """"usage stats"""" link.<li>You then click on the month/year that you wish to view statistics for.For assistance, contact techsupport@bowker.com.</ol>""",48,#N/A,,
61,Canadian Reference Centre,"This database includes leading Canadian periodicals and international periodicals in full text, full-text reference books, thousands of full-text biographies, and an image collection containing thousands of photos, maps and flags. The collection includes images from Canadian Press.<p>The Canadian Reference Centre Research ExperienceCanadian Reference Centre provides easy access to full text for an optimal research experience. Users will find this database helpful for research on Canada or to keep up with current events in Canada. This database also includes international content for research on Canada's global involvement.<p>Canadian Reference Centre provides full text for leading Canadian magazines including Alberta Sweetgrass, Bank of Canada Review, Benefits Canada, Canadian Business, Canadian Economic Observer, Canadian Geographic, Canadian Living, Canadian Manager, Chatelaine, Elle Canada, Flare, Food in Canada, Maclean's, Manitoba History, Marketing Magazine, Ontario Out of Doors, Profit and many more. Canadian Reference Centre also provides full text for leading Canadian newspapers and newswires including Canadian Press, The Guelph Mercury, The Hamilton Spectator, La Presse Canadienne (en Francais), The Record, Toronto Star, etc. In addition, this database provides full text for leading Canadian reference books including Canadian Global Almanac, Canadian Oxford Dictionary - 2nd edition, Gage Canadian Thesaurus, and many more.<p>[From vendor]<p>Last updated: March 19, 2015""",EBSCO Publishing,1975-present,"Index,Abstract,FullText",http://www.ebscohost.com/academic/canadian-reference-centre,"Usage statistics are available by accessing EBSCOAdmin in the following way:<ol><p><li>Go to <a href=""""http://eadmin.epnet.com"""">http://eadmin.epnet.com</a><p><li>Enter your Customer ID and password (library administrators receive notification of their Customer ID upon setup, otherwise contact ELN [EMAIL_OFFICE])<p><li>Select the """"Reports and Statistics"""" tab from the top of the screen.<p><li>The """"Reports and Statistics"""" section of the Admin module offers an easy means of setting up a wide range of report choices.  For database usage statistics, choose Standard Reports or COUNTER reports.  The Standard Reports offer more options, while the COUNTER reports are designed to meet an international standard.  Link Activity reports are also available.<p>There are options to choose which activities to report, sort order, and select the date range of your choice.  To have a report run regularly, schedule the report.  Later, you can edit your scheduled reports if desired.<p>For further information, please contact EBSCO tech support at 800-758-5995 or 978-356-6500, e-mail eptech@epnet.com""",53,http://www.ebscohost.com/titleLists/rch-coverage.htm,,
62,Project MUSE,"The Project MUSE complete collection offers a comprehensive selection of prestigious humanities, arts, and social sciences journals to support a core liberal arts curriculum at any academic institution. Every journal is heavily indexed and peer-reviewed, with articles by respected scholars in their fields. MUSE is also the sole source of complete, full-text versions of titles from many of the world's leading university presses and scholarly societies.<p>There are 6 different collections available:<br><ul><li>Premium Collection</li><li>Standard Collection</li><li>Basic Research Collection</li><li>Basic College Collection</li><li>Humanities Collection</li><li>Social Sciences Collection</li></ul><p>[From vendor]<p>Last updated: December 13, 2013""",The Johns Hopkins University Press,1993 to present,FullText,http://muse.jhu.edu/,"<p>To obtain usage statistics, follow the instructions on the<a href=""""http://muse.jhu.edu/proj_descrip/faq/#stats"""">Project Muse web site</a>""",90,http://muse.jhu.edu/journals/,,
64,eHRAF Archeology,"eHRAF Archaeology is a full-text, fully-indexed archaeology database. eHRAF differs from other databases because the documents (i.e. books, journal articles, dissertations) are indexed at the paragraph-level with over 700 subject codes from the Outline of Cultural Materials (OCM), Human Relations Area Files.<p>[From vendor]<p>Last updated: December 6, 2013""",HRAF,Prehistoric to historical times,"Index,FullText",http://www.yale.edu/hraf/archaeology.htm,Send an e-mail to christiane.cunnar@yale.edu to request usage statistics for your library.,55,#N/A,,
65,Communication &amp; Mass Media Complete,"Providing the most robust, quality research solution in areas related to communication and mass media. Communications & Mass Media Complete incorporates the content of CommSearch (formerly produced by the National Communication Association) and Mass Media Articles Index (formerly produced by Penn State) along with numerous other journals in communication, mass media, and other closely-related fields of study to create a research and reference resource of unprecedented scope and depth encompassing the breadth of the communication discipline.<p>[From vendor]<p>Last updated: November 13, 2013""",EBSCO Publishing,1915 - present,"Index,FullText",http://www.ebscohost.com/academic/communication-mass-media-complete,"Usage statistics are available by accessing EBSCOAdmin in the following way:<ol><p><li>Go to <a href=""""http://eadmin.epnet.com"""">http://eadmin.epnet.com</a><p><li>Enter your Customer ID and password (library administrators receive notification of their Customer ID upon setup, otherwise contact ELN [EMAIL_OFFICE])<p><li>Select the """"Reports and Statistics"""" tab from the top of the screen.<p><li>The """"Reports and Statistics"""" section of the Admin module offers an easy means of setting up a wide range of report choices.  For database usage statistics, choose Standard Reports or COUNTER reports.  The Standard Reports offer more options, while the COUNTER reports are designed to meet an international standard.  Link Activity reports are also available.<p>There are options to choose which activities to report, sort order, and select the date range of your choice.  To have a report run regularly, schedule the report.  Later, you can edit your scheduled reports if desired.<p>For further information, please contact EBSCO tech support at 800-758-5995 or 978-356-6500, e-mail eptech@epnet.com""",53,http://www.ebscohost.com/titleLists/ufh-coverage.htm,,
73,Criminal Justice Abstracts,"This resource includes bibliographic records and full text covering essential areas related to criminal justice and criminology. The increasing globalization of criminology is reflected in Criminal Justice Abstracts with Full Textís coverage of hundreds of journals from around the world.<p>Covering all areas of criminal justice, Criminal Justice Abstracts contains over 475,000 records selected from the most important sources within the discipline. New content and features are offered with more than 580 journals now presented with cover-to-cover coverage. Other new features include searchable references for more than 230 titles, and a Publications Authority of key titles.<p>[From vendor]<p>Last updated: March 26, 2015""",SAGE Publications,1968 - present,"Index,Abstract,FullText",http://www.ebscohost.com/academic/criminal-justice-abstracts,,53,http://www.ebscohost.com/titleLists/13h-coverage.htm,,
